#RAJ2000|DEJ2000|QG|b|l_CaIIK|CaIIK|e_CaIIK|l_CaIIH|CaIIH|e_CaIIH|l_NaID2|NaID2|e_NaID2|l_NaID1|NaID1|e_NaID1
#"h:m:s"|"d:m:s"| | | | | | | | | | | | | |
#-----------|------------|-|-----|-|-----|-----|-|-----|-----|-|-----|-----|-|-----|-----
00 13 42.45|-00 24 12.60| | 3.40| | 1.00| 0.40| | 1.60| 0.64| | 1.00| 0.40| | 1.00| 0.40
00 16 37.07|+13 56 53.52| | 3.80| | 3.50| 1.40| | 6.70| 2.68| | 0.60| 0.24| | 0.60| 0.24
00 45 15.45|-01 13 17.63|*| 6.61|<| 0.39|     |<| 0.63|     | | 0.36| 0.14| | 0.33| 0.13
00 59 40.67|+00 09 46.20| |     |<| 0.90|     |<| 0.90|     |<| 1.10|     |<| 0.80|
02 37 04.61|+27 52 39.70| |     | | 1.30| 0.52|<| 0.70|     |<| 0.80|     |<| 1.10|
02 39 14.40|-07 05 57.15| |     |<| 0.60|     |<| 0.30|     |<| 1.00|     |<| 1.10|
02 43 28.86|+00 38 31.20| | 1.79|<| 1.20|     |<| 1.60|     |<| 0.60|     | | 1.10| 0.44
02 59 42.42|+00 01 38.10| | 4.29|<| 1.10|     |<| 1.40|     | | 1.50| 0.60|<| 0.70|
03 12 55.98|+00 14 00.00| | 1.26| | 3.60| 1.44| |     |     | | 2.40| 0.96| | 2.40| 0.96
03 32 28.25|+00 14 34.70| |     |<| 2.80|     |<| 0.20|     | | 3.30| 1.32|<| 1.60|
07 51 40.15|+34 07 04.20| | 4.23| | 0.50| 0.20|<| 0.40|     |<| 0.50|     |<| 0.50|
08 02 16.34|+14 35 06.30| | 8.94|<| 1.10|     |<| 1.00|     |<| 0.40|     |<| 0.40|
08 08 08.67|+06 41 08.71|*| 0.53|<| 0.63|     |<| 0.65|     |<| 1.53|     |<| 1.53|
08 11 54.29|+20 21 48.87|*|     |<| 0.42|     |<| 0.34|     |<| 1.05|     |<| 1.05|
08 20 57.42|+40 03 26.64| | 6.65|<| 0.90|     |<| 0.70|     |<| 1.00|     |<| 1.00|
08 51 13.74|+07 19 59.80| | 5.63|<| 0.20|     |<| 0.20|     | | 3.10| 1.24| | 3.10| 1.24
09 02 50.47|+14 14 08.29|*| 3.59| | 0.80| 0.32| | 0.39| 0.16|<| 0.35|     |<| 0.35|
09 14 17.84|+32 59 55.29|*|     |<| 4.23|     |<| 3.58|     |<| 3.38|     |<| 3.38|
09 29 13.09|+30 22 25.88|*|     |<| 0.76|     |<| 0.67|     | | 1.94| 0.78| | 1.94| 0.78
09 35 27.90|+23 25 25.00| | 6.29| | 0.80| 0.32| |     |     |<| 0.40|     |<| 0.40|
09 40 41.69|+34 15 35.14| |     | | 0.60| 0.24| |     |     |<| 1.10|     |<| 1.00|
09 43 35.61|-00 43 22.10| | 2.50| | 1.40| 0.56| | 1.80| 0.72| | 0.60| 0.24| |     |
09 47 59.67|+12 05 37.72| |10.66|<| 0.50|     |<| 0.40|     |<| 0.70|     |<| 0.70|
09 50 13.74|+54 42 54.65|*| 0.98| | 1.60| 0.64| | 1.80| 0.72|<| 1.00|     |<| 0.80|
09 52 28.23|+03 26 16.05|*|     |<| 0.56|     |<| 0.45|     |<| 1.54|     |<| 1.54|
10 05 14.21|+53 02 40.04| | 3.60| | 0.50| 0.20| |     |     |<| 0.80|     |<| 1.00|
10 10 15.74|-01 00 38.11| | 1.20|<| 0.60|     |<| 0.30|     |<| 1.00|     |<| 1.00|
10 11 05.67|+06 19 17.13| | 1.70| | 1.10| 0.44| | 0.50| 0.20| | 0.90| 0.36| | 0.20| 0.08
10 12 46.34|+17 14 19.08|*|     |<| 0.50|     |<| 0.60|     |<| 0.40|     |<| 0.40|
10 13 41.89|-00 09 25.71|*| 6.03|<| 0.78|     |<| 0.78|     |<| 0.55|     |<| 0.55|
10 18 44.41|+45 25 04.63|*|     |<| 0.60|     |<| 0.30|     |<| 1.00|     |<| 0.80|
10 30 04.03|+24 36 14.26|*|     |<| 0.40|     |<| 0.40|     |<| 0.37|     |<| 0.37|
10 33 09.84|+20 59 56.82| |     |<| 0.60|     |<| 0.51|     |<| 1.70|     |<| 1.70|
10 42 23.55|+09 27 08.28|*|     | | 0.15| 0.06|<| 0.26|     |<| 0.80|     |<| 0.80|
10 42 57.59|+07 48 50.56| | 1.70|<| 0.60|     |<| 0.30|     |<| 1.00|     |<| 1.00|
10 44 30.26|+05 18 57.32|*| 3.51| | 0.37| 0.15| | 0.16| 0.06|<| 0.23|     |<| 0.14|
10 53 11.54|+29 48 08.30|*| 5.00|<| 1.57|     |<| 1.58|     |<| 0.31|     |<| 0.31|
11 02 24.14|+57 35 12.97| |     |<| 0.60|     |<| 0.30|     |<| 0.50|     |<| 0.60|
11 07 35.69|+06 07 58.64| | 4.50|<| 0.60|     |<| 0.30|     |<| 1.00|     |<| 0.80|
11 13 43.97|+18 40 02.74|*| 3.38|<| 0.71|     |<| 0.47|     | | 2.40| 0.96|<| 0.52|
11 21 46.50|+02 17 57.95| | 4.47| | 0.90| 0.36|<| 0.60|     |<| 0.60|     | | 0.80|
11 30 02.99|+60 26 28.62| | 1.99|<| 1.10|     |<| 0.40|     |<| 0.70|     |<| 0.70|
11 31 08.36|+20 21 51.23|*| 6.23|<| 0.50|     |<| 0.51|     | | 2.40| 0.96| | 2.09| 0.84
11 35 55.66|+24 14 38.10|*| 3.88|<| 0.48|     |<| 0.42|     | | 1.73| 0.69| | 1.73| 0.69
11 37 08.35|+19 21 49.06|*| 1.40| | 1.12| 0.45|<| 0.41|     |<| 0.54|     |<| 0.54|
11 43 40.96|+52 03 03.35| |     | | 0.20| 0.08| | 0.50|     | | 0.30| 0.12| | 0.30| 0.12
11 48 19.48|+12 33 44.24|*|     |<| 0.49|     |<| 0.49|     | | 1.09| 0.44|<| 1.25|
11 58 22.85|+39 07 12.96|*| 4.66| | 0.69| 0.28|<| 0.25|     |<| 0.21|     |<| 0.21|
12 05 38.77|+60 40 57.99|*| 9.71|<| 1.13|     |<| 0.62|     |<| 1.51|     |<| 1.51|
12 09 08.53|+02 27 34.41|*|     | | 0.38| 0.15| | 0.20| 0.10|<| 0.40|     |<| 0.60|
12 15 10.98|+14 18 02.25|*| 0.48|<| 0.56|     |<| 0.57|     |<| 1.73|     |<| 1.73|
12 20 37.23|+28 37 52.03| | 6.88| | 0.40| 0.16|<| 0.70|     | | 0.80| 0.32| | 0.30| 0.12
12 27 52.02|+16 55 22.72|*|11.86| | 0.98| 0.39|<| 0.46|     |<| 0.80|     |<| 0.80|
12 38 44.79|+10 56 22.20| | 2.60| | 0.70| 0.28| | 3.20| 1.28| | 2.00| 0.80| | 1.30| 0.52
12 38 46.68|+64 48 36.60| | 7.00| | 1.70| 0.68| | 1.30| 0.52| | 0.90| 0.36| | 0.40| 0.16
12 41 57.55|+63 32 41.63|*|10.57| | 0.99| 0.40|<| 0.37|     | | 2.58| 1.03| | 2.58| 1.03
12 48 14.43|+40 35 35.13|*| 4.00| | 0.99| 0.40|<| 0.65|     |<| 0.64|     |<| 0.64|
12 53 39.10|+17 58 32.06| |     | | 0.20| 0.08|<| 0.30|     |<| 0.50|     |<| 0.50|
13 06 34.62|+52 32 50.33| | 4.55| | 0.40| 0.16| | 0.40| 0.16|<| 0.20|     |<| 0.20|
13 08 53.89|+28 11 29.50|*|11.08|<| 0.43|     |<| 0.43|     |<| 0.52|     |<| 0.52|
13 14 00.58|+20 36 59.30| | 6.18| | 0.80| 0.32|<| 0.90|     |<| 0.30|     |<| 0.30|
13 18 04.70|+52 25 10.34|*|12.68|<| 1.08|     |<| 1.08|     |<| 1.33|     |<| 1.34|
13 25 42.23|+25 55 25.03|*|     |<| 0.93|     |<| 0.93|     |<| 1.40|     |<| 1.40|
13 28 24.33|+21 59 19.66|*|12.68|<| 0.39|     |<| 0.40|     |<| 0.51|     |<| 0.51|
13 29 18.68|+63 04 24.00|*|     |<| 0.25|     |<| 0.25|     |<| 0.65|     |<| 0.65|
13 34 03.19|+56 10 07.21|*| 5.71| | 1.36| 0.54|<| 0.85|     |<| 0.56|     |<| 0.56|
13 37 33.24|+44 51 29.77| |     |<| 0.60|     |<| 0.30|     | |     |     | | 0.60| 0.24
13 45 01.30|+15 25 49.15| | 6.67| | 1.80| 0.72|<| 0.30|     |<| 0.60|     |<| 0.60|
14 00 46.84|+06 29 14.36|*| 6.97| | 0.44| 0.18|<| 0.36|     |<| 0.49|     |<| 0.49|
14 00 56.51|+45 50 00.83|*| 3.84| | 0.68| 0.27|<| 1.18|     |<| 0.35|     |<| 0.35|
14 01 03.31|-00 50 30.64| |     | | 0.50| 0.20|<| 0.30|     |<| 1.60|     |<| 1.60|
14 01 59.75|+41 41 56.23| | 1.20|<| 0.60|     |<| 0.30|     |<| 1.00|     |<| 1.00|
14 24 21.70|+45 35 23.87|*| 9.00|<| 0.81|     |<| 0.81|     |<| 1.60|     |<| 1.61|
14 29 17.69|+01 20 58.93|*| 3.43|<| 0.46|     |<| 0.46|     |<| 0.28|     |<| 0.28|
14 34 58.05|+50 41 18.60| | 7.30| | 0.90| 0.36| |     |     |<| 1.00|     |<| 1.00|
14 43 05.53|+02 14 19.30|*|     |<| 0.60|     |<| 0.30|     |<| 1.00|     |<| 1.00|
14 44 12.84|+02 23 01.77|*|     |<| 1.77|     |<| 1.78|     | | 1.95| 0.78| | 1.95| 0.78
14 52 40.53|+54 43 45.11| |     |<| 0.60|     |<| 0.30|     | | 0.40| 0.16| | 1.60| 0.64
14 57 19.00|+53 21 59.27|*| 4.24|<| 0.33|     |<| 0.33|     |<| 0.30|     |<| 0.30|
14 59 38.50|+37 13 14.70| | 4.40| | 2.30| 0.92| | 2.20| 0.88| | 0.70| 0.28| | 0.80| 0.32
15 01 40.43|+57 10 26.10| | 8.70|<| 0.60|     |<| 0.30|     |<| 0.80|     |<| 0.80|
15 02 59.92|+08 25 41.53|*| 5.75|<| 0.38|     |<| 0.39|     |<| 0.33|     |<| 0.33|
15 15 43.02|+02 57 19.33|*| 1.01|<| 2.04|     |<| 2.05|     | | 1.18| 0.47| | 0.95| 0.38
15 25 14.08|+02 02 54.68|*| 3.12| | 0.73| 0.29|<| 0.37|     |<| 0.26|     |<| 0.26|
15 40 09.18|+17 31 03.58|*|     |<| 0.45|     |<| 0.45|     |<| 0.15|     |<| 0.15|
15 45 42.79|+50 57 59.08|*|     | | 0.68| 0.27|<| 0.55|     |<| 4.56|     |<| 4.57|
16 02 48.50|+49 16 40.80| |     |<| 0.60|     |<| 0.30|     |<| 0.80|     |<| 0.60|
16 05 21.26|+51 07 40.95| | 3.80| | 0.70| 0.28| |     |     | | 0.60| 0.24| | 0.40| 0.16
16 10 16.18|+50 07 28.87| |     |<| 0.60|     |<| 0.30|     |<| 0.60|     |<| 0.60|
16 16 07.36|+21 24 01.14|*| 2.74|<| 1.26|     |<| 1.26|     |<| 2.62|     |<| 2.63|
16 17 28.96|+06 16 04.33|*|     |<| 0.60|     | | 0.21| 0.08|<| 0.40|     |<| 0.40|
16 18 18.24|+45 45 23.39|*| 0.37|<| 0.72|     |<| 0.73|     |<| 0.84|     |<| 0.84|
16 39 56.35|+11 27 58.70|*| 5.26|<| 0.60|     |<| 0.30|     | | 0.65| 0.26| | 0.58| 0.23
16 55 08.97|+22 41 50.96|*| 9.68|<| 0.54|     |<| 0.54|     |<| 0.69|     |<| 0.69|
16 56 32.14|+41 46 17.34|*| 0.96|<| 0.26|     |<| 0.27|     |<| 0.60|     |<| 0.60|
16 56 43.35|+25 41 36.80| | 1.13| | 0.80| 0.32|<| 0.30|     |<| 0.30|     |<| 0.30|
16 57 43.05|+22 11 49.11| | 4.96| | 1.90| 0.76|<| 4.60|     | | 4.40| 1.76| | 4.40| 1.76
16 58 29.48|+33 26 04.82|*| 6.01|<| 0.91|     |<| 0.91|     |<| 0.58|     |<| 0.58|
16 59 58.94|+62 02 18.14| | 7.15| | 0.70| 0.28| | 0.30| 0.12|<| 0.30|     |<| 0.30|
17 17 04.14|+32 03 20.93|*| 7.51| | 0.91| 0.36| | 0.52| 0.21| | 1.18| 0.47| | 1.18| 0.47
21 17 01.31|+00 26 38.80| | 5.68| | 1.00| 0.40|<| 0.70|     |<| 0.40|     |<| 0.40|
23 11 48.54|+00 44 26.00| | 6.32|<| 0.90|     |<| 1.10|     |<| 0.70|     |<| 0.70|
23 56 21.28|+00 29 06.92| |     |<| 0.40|     |<| 0.40|     |<| 0.80|     |<| 0.80|

